[2015-12-01 22:31:49] [404] [0:0:0:0:0:0:0:1] /
[2016-01-05 22:20:42] [404] [127.0.0.1] /favicon.ico
[2016-01-05 22:20:42] [404] [127.0.0.1] /
[2016-01-05 22:20:42] [404] [127.0.0.1] /favicon.ico
[2016-01-06 09:13:16] [200] [127.0.0.1] /
[2016-01-06 09:13:17] [404] [127.0.0.1] /favicon.ico
[2016-01-06 09:13:22] [404] [127.0.0.1] /test.php?firstname=Mickey&lastname=Mouse
[2016-01-06 09:14:34] [404] [127.0.0.1] /test.php?firstname=Mickey&lastname=Mouse
[2016-01-06 09:14:38] [404] [127.0.0.1] /test.php?firstname=Mickey&lastname=Mouse
[2016-01-06 09:14:51] [200] [127.0.0.1] /
[2016-01-06 09:14:52] [404] [127.0.0.1] /test.php
[2016-01-06 09:22:11] [404] [127.0.0.1] /test.php
[2016-01-06 09:22:14] [404] [127.0.0.1] /test.php
[2016-01-06 09:26:16] [404] [127.0.0.1] /test.php
[2016-01-06 09:27:46] [404] [127.0.0.1] /test.php
[2016-01-06 09:28:18] [404] [127.0.0.1] /test.php
[2016-01-06 09:29:42] [200] [127.0.0.1] /
[2016-01-06 09:29:44] [404] [127.0.0.1] /test.php
[2016-01-06 09:30:27] [404] [127.0.0.1] /test.php
[2016-01-06 09:31:46] [200] [127.0.0.1] /
[2016-01-06 09:31:48] [404] [127.0.0.1] /test.php
[2016-01-06 09:32:05] [404] [127.0.0.1] /test.php
[2016-01-06 09:39:28] [404] [127.0.0.1] /test.php
[2016-01-06 09:44:10] [404] [127.0.0.1] /test.php
[2016-01-06 09:45:17] [404] [127.0.0.1] /test.php
[2016-01-06 09:45:36] [200] [127.0.0.1] /
[2016-01-06 09:45:53] [404] [127.0.0.1] /test.php
[2016-01-06 09:45:58] [404] [127.0.0.1] /test.php
[2016-01-06 09:46:50] [404] [127.0.0.1] /test.php
[2016-01-06 09:57:11] [404] [127.0.0.1] /test.php
[2016-01-06 10:21:54] [200] [127.0.0.1] /
[2016-01-06 10:22:11] [200] [127.0.0.1] /
[2016-01-06 10:36:50] [200] [127.0.0.1] /
[2016-01-06 10:37:02] [404] [127.0.0.1] /test.php
[2016-01-06 10:39:26] [200] [127.0.0.1] /
[2016-01-06 10:39:30] [EXC] Socket closed
[2016-01-06 10:39:30] [404] [127.0.0.1] /test.php
[2016-01-06 10:39:39] [EXC] Socket closed
[2016-01-06 10:39:39] [404] [127.0.0.1] /test.php
[2016-01-06 11:07:35] [200] [127.0.0.1] /
[2016-01-06 11:08:22] [EXC] Address already in use
[2016-01-06 11:08:22] [EXC] Beende...
[2016-01-06 11:08:32] [200] [127.0.0.1] /
[2016-01-06 11:08:40] [EXC] Socket closed
[2016-01-06 11:08:40] [404] [127.0.0.1] /test.php
[2016-01-06 23:11:08] [200] [127.0.0.1] /
[2016-01-06 23:11:08] [404] [127.0.0.1] /favicon.ico
[2016-01-06 23:11:38] [404] [127.0.0.1] /test.php
[2016-01-06 23:12:06] [200] [127.0.0.1] /
[2016-01-06 23:13:45] [404] [127.0.0.1] /test.php
[2016-01-06 23:14:59] [404] [127.0.0.1] /test.php
[2016-01-06 23:19:51] [404] [127.0.0.1] /test.php
[2016-01-06 23:20:39] [404] [127.0.0.1] /test.php
[2016-01-06 23:22:55] [404] [127.0.0.1] /test.php
[2016-01-06 23:26:12] [200] [127.0.0.1] /
[2016-01-06 23:26:22] [404] [127.0.0.1] /test.php
[2016-01-06 23:31:27] [200] [127.0.0.1] /
[2016-01-06 23:31:38] [404] [127.0.0.1] /test.php
[2016-01-06 23:32:36] [404] [127.0.0.1] /test.php
[2016-01-06 23:34:25] [200] [127.0.0.1] /
[2016-01-06 23:34:26] [404] [127.0.0.1] /test.php
[2016-01-06 23:35:07] [200] [127.0.0.1] /
[2016-01-06 23:36:42] [200] [127.0.0.1] /
[2016-01-06 23:36:43] [404] [127.0.0.1] /test.php
[2016-01-06 23:37:05] [EXC] Address already in use: JVM_Bind
[2016-01-06 23:37:05] [EXC] Beende...
[2016-01-06 23:37:40] [404] [127.0.0.1] /test.php
[2016-01-06 23:38:38] [404] [127.0.0.1] /test.php
[2016-01-06 23:39:31] [404] [127.0.0.1] /test.php
[2016-01-06 23:42:41] [404] [127.0.0.1] /test.php
[2016-01-06 23:51:57] [404] [127.0.0.1] /test.php
[2016-01-06 23:53:50] [404] [127.0.0.1] /test.php
[2016-01-06 23:54:58] [EXC] Address already in use: JVM_Bind
[2016-01-06 23:54:58] [EXC] Beende...
[2016-01-06 23:55:12] [404] [127.0.0.1] /test.php
[2016-01-06 23:55:31] [EXC] Address already in use: JVM_Bind
[2016-01-06 23:55:31] [EXC] Beende...
[2016-01-06 23:56:46] [404] [127.0.0.1] /test.php
[2016-01-06 23:57:32] [404] [127.0.0.1] /test.php
[2016-01-06 23:57:56] [404] [127.0.0.1] /test.php
[2016-01-07 00:00:13] [404] [127.0.0.1] /test.php
[2016-01-07 00:03:00] [404] [127.0.0.1] /test.php
[2016-01-07 00:05:30] [404] [127.0.0.1] /test.php
[2016-01-07 00:06:18] [404] [127.0.0.1] /test.php
[2016-01-07 00:09:15] [404] [127.0.0.1] /test.php
[2016-01-07 00:36:53] [404] [127.0.0.1] /test.php
[2016-01-07 00:37:29] [404] [127.0.0.1] /test.php
[2016-01-07 00:38:05] [404] [127.0.0.1] /test.php
[2016-01-07 00:38:40] [404] [127.0.0.1] /test.php
[2016-01-07 00:38:57] [200] [127.0.0.1] /
[2016-01-07 00:38:58] [200] [127.0.0.1] /
[2016-01-07 00:39:00] [200] [127.0.0.1] /
[2016-01-07 00:40:17] [200] [127.0.0.1] /
[2016-01-07 00:40:21] [404] [127.0.0.1] /test.php
[2016-01-07 00:41:02] [404] [127.0.0.1] /test.php
[2016-01-07 00:43:42] [404] [127.0.0.1] /test.php
[2016-01-07 00:46:03] [404] [127.0.0.1] /test.php
[2016-01-07 00:46:27] [404] [127.0.0.1] /test.php
[2016-01-07 00:51:37] [404] [127.0.0.1] /test.php
[2016-01-07 00:52:02] [404] [127.0.0.1] /test.php
[2016-01-07 00:52:35] [404] [127.0.0.1] /test.php
[2016-01-07 00:53:20] [404] [127.0.0.1] /test.php
[2016-01-07 00:54:45] [404] [127.0.0.1] /test.php
[2016-01-07 00:55:35] [404] [127.0.0.1] /test.php
[2016-01-07 00:58:38] [404] [127.0.0.1] /test.php
[2016-01-07 00:59:04] [EXC] Address already in use: JVM_Bind
[2016-01-07 00:59:04] [EXC] Beende...
[2016-01-07 00:59:20] [404] [127.0.0.1] /test.php
[2016-01-07 01:00:47] [404] [127.0.0.1] /test.php
[2016-01-07 01:01:23] [404] [127.0.0.1] /test.php
[2016-01-07 01:02:05] [404] [127.0.0.1] /test.php
[2016-01-07 01:07:38] [404] [127.0.0.1] /test.php
[2016-01-07 01:08:08] [404] [127.0.0.1] /test.php
[2016-01-07 01:10:15] [404] [127.0.0.1] /test.php
[2016-01-07 01:10:40] [404] [127.0.0.1] /test.php
